year,date,day_night,casualty,city,accident_class,accident_subclass,road_type,longitude,latitude
2012,2012010809,1,1,3,1,8,0,126.96701403,34.55660478
2012,2012010705,0,1,14,2,7,0,129.31452674,35.53384268
2012,2012010706,1,1,1,2,7,0,126.73757386,37.34889388
2012,2012010605,0,1,15,2,10,2,126.50045888,33.51742297
2012,2012010614,1,3,3,1,3,0,126.04402196,34.88500823
2012,2012011311,1,4,8,0,1,2,128.69587426,37.68643493
2012,2012011019,0,1,13,2,7,0,127.40891397,36.82512451
2012,2012011116,1,1,0,2,7,0,128.75534246,35.46306327
2012,2012011007,1,1,13,0,1,2,127.45797533,36.73760061
2012,2012030308,1,1,5,1,3,0,127.21845177,35.75990079
2012,2012041611,1,4,14,0,0,0,129.22441882,35.57246134
2012,2012041620,0,2,2,2,4,0,128.58311099,36.33373529
2012,2012032619,0,1,2,0,4,0,128.26029364,36.20417798
2012,2012083006,1,11,3,2,4,0,126.80682965,35.40141056
2012,2012010314,1,1,10,0,1,2,126.73174640000002,37.53810445
2012,2012010302,0,1,4,1,3,0,126.31609978,36.60965565
2012,2012010305,0,2,3,2,4,0,126.85993128,35.07696916
2012,2012010515,1,1,1,1,4,0,127.0165267,37.27900913
2012,2012010512,1,1,3,2,4,0,127.48353674,34.90687465
2012,2012010903,0,3,13,0,4,0,127.45273632,36.60480874
2012,2012010716,1,3,1,1,8,1,127.35311887,37.74672164
2012,2012010622,0,1,1,1,8,0,127.45754257,37.71557439
2012,2012011121,0,1,11,2,7,2,127.0932003,37.59818414
2012,2012021121,0,3,4,1,2,0,126.5650205,36.26292809
2012,2012020720,0,2,2,0,0,0,128.36163117,36.09543265
2012,2012020312,1,1,10,0,4,0,126.75349247,37.47538408
2012,2012062208,1,8,5,1,8,0,127.56677096,35.48222369
2012,2012060804,0,2,11,0,0,0,127.13976902,37.49504921
2012,2012052202,0,4,2,0,0,0,128.14745054,36.62717411
2012,2012050513,1,2,14,0,0,0,129.1895384,35.71719873
2012,2012052323,0,1,2,0,4,0,128.55620501,36.22892367
2012,2012070507,1,1,0,0,0,0,128.20229241,35.18157386
2012,2012070822,0,5,0,0,0,0,128.17083338,35.17301475
2012,2012062606,1,1,1,1,2,0,127.08885185,37.40394393
2012,2012072620,0,14,1,0,0,0,127.064854,37.39593496
2012,2012111501,0,5,3,0,0,0,126.54987965,35.28659562
2012,2012111813,1,4,3,1,3,0,126.49406776,34.98711234
2012,2012121105,0,1,4,0,1,0,127.16559546,36.81236613
2012,2012081722,0,2,2,0,1,0,128.13811594,36.65754128
2012,2012082617,1,4,8,1,3,0,128.4099492,37.58508426
2012,2012090421,0,3,8,1,3,0,127.97759886,37.54993115
2012,2012082815,1,1,2,0,0,0,129.19422071,35.72375899
2012,2012082402,0,2,14,1,3,0,129.22247284,35.57330955
2012,2012122806,1,1,0,1,2,0,127.65208002,35.69033861
2012,2012010207,1,1,1,2,7,0,126.75078504,37.67476033
2012,2012010305,0,1,4,1,3,0,126.39590688,36.96933412
2012,2012010512,1,1,14,2,4,0,129.1785858,35.47472346
2012,2012011320,0,1,4,1,4,2,126.83258223,36.68327106
2012,2012011204,0,1,11,2,7,0,126.94352222,37.48218256
2012,2012011112,1,1,1,2,4,0,127.04903811,37.74323749
2012,2012011023,0,3,12,0,1,0,129.0676011,35.17729669
2012,2012052114,1,1,1,1,2,0,126.95545957,37.32854553
2012,2012050202,0,3,1,1,2,0,127.54697503,37.24871745
2012,2012040602,0,1,1,2,9,0,127.07159498,37.29524799
2012,2012060816,1,1,2,1,3,0,128.61756341,36.442128100000005
2012,2012052713,1,7,2,1,2,0,128.33704529,36.13179505
2012,2012052804,0,1,2,0,1,0,128.28437376,36.15033577
2012,2012071619,0,1,2,1,3,0,128.64141948,36.54646352
2012,2012063008,1,2,1,0,1,0,126.76707379,37.37582392
2012,2012121105,0,7,1,0,0,0,127.19485026,37.53124075
2012,2012011003,0,5,5,1,8,0,127.37208775,35.44962395
2012,2012010709,1,3,11,0,0,0,126.90622325,37.48887835
2012,2012011109,1,2,2,0,1,2,129.37421978,36.28647476
2012,2012011018,0,1,2,2,7,0,129.08560235,35.86473106
2012,2012031803,0,1,13,0,0,0,127.84283644,37.01824261
2012,2012021505,0,12,13,0,0,0,127.65247962,37.1407115
2012,2012012002,0,2,13,0,0,0,127.65243511,37.14097297
2012,2012032002,0,3,6,0,0,0,128.65600073,35.9146303
2012,2012021904,0,1,0,0,0,0,128.1606476,35.17229527
2012,2012020806,1,2,1,0,0,0,127.15757996,37.28785712
2012,2012041416,1,2,1,1,4,0,127.0113439,37.72076148
2012,2012090201,0,2,1,1,2,0,126.8898308,37.06288037
2012,2012010120,0,12,1,0,5,0,127.14830918,37.82690241
2012,2012010309,1,1,2,1,2,2,129.22911059,35.99288798
2012,2012010818,0,1,5,0,5,1,127.49817908,35.57075866
2012,2012010514,1,1,10,1,3,0,126.51585775,37.73169064
2012,2012010501,0,1,1,1,3,2,126.77946847,37.33282362
2012,2012011221,0,1,2,2,4,1,129.00991679,36.05531031
2012,2012011223,0,1,3,1,3,0,126.35030652,35.06641898
2012,2012011120,0,1,11,2,7,0,127.12215257,37.48658446
2012,2012011019,0,1,1,2,7,0,126.99926179,37.2680215
2012,2012031305,0,2,3,0,4,1,126.97075329,35.26102762
2012,2012022504,0,2,0,0,5,0,127.9823726,35.71160325
2012,2012021902,0,1,0,0,0,0,128.79673635,35.51051837
2012,2012040904,0,2,6,0,0,0,128.64558066,35.91677669
2012,2012052005,0,2,6,1,3,0,128.69024925,35.88818681
2012,2012121110,1,2,0,0,5,0,128.18658596,35.69530202
2012,2012121501,0,1,0,1,3,0,127.97559204,35.26753521
2012,2012110603,0,3,13,0,0,0,127.72094477,37.08463424
2012,2012101617,1,2,13,0,0,0,127.99253274,36.73393852
2012,2012101121,0,2,2,0,0,0,128.26582853,36.16598944
2012,2012081015,1,1,2,0,1,0,128.94582069,36.04172173
2012,2012010102,0,4,11,0,1,2,126.99234479,37.56818425
2012,2012010501,0,1,1,2,7,2,127.15295429,37.67186137
2012,2012010905,0,1,10,1,3,0,126.73186043,37.51374193
2012,2012010812,1,2,2,1,3,0,129.28262938,36.03754685
2012,2012010900,0,1,1,1,3,0,126.78273654,37.82216104
2012,2012010616,1,1,1,0,1,0,126.95263841,37.38286756
2012,2012011315,1,3,12,0,1,2,129.07927192,35.18003018
2012,2012122808,1,1,2,1,2,0,128.12069108,36.12970373
2012,2012112608,1,1,0,0,0,0,129.04880089,35.32574291
2012,2012091104,0,3,1,0,0,0,127.13498072,37.06822393
2012,2012122619,0,3,0,1,2,0,127.6643209,35.67707742
2012,2012010215,1,2,1,0,5,0,126.75807888,37.79052587
2012,2012010218,0,1,3,2,7,2,126.3027155,34.71839245
2012,2012010816,1,2,1,2,9,0,126.79677805,37.34925163
2012,2012011007,1,1,3,2,7,0,126.98958498,35.34339649
2012,2012010918,0,1,14,0,4,0,129.35138888,35.43453008
2012,2012052621,0,1,4,1,3,0,126.64818967,36.8622764
2012,2012043017,1,11,1,0,4,0,127.42468259,37.24369101
2012,2012030201,0,1,0,0,0,0,128.33727356,35.29103608
2012,2012012619,0,2,5,0,5,0,127.61693143,35.52187697
2012,2012020606,1,2,1,0,0,0,127.28585359999998,37.23945599
2012,2012010205,0,2,1,0,0,0,127.17768689,37.51662919
2012,2012012613,1,1,10,1,3,0,126.48711331,37.48270251
2012,2012011811,1,1,10,0,0,0,126.59300277,37.40490249
2012,2012032222,0,1,10,0,0,0,126.70648827,37.52366922
2012,2012060212,1,1,3,1,8,0,126.48324328,35.17536581
2012,2012060520,0,3,3,0,0,1,126.80793927,35.25197357
2012,2012070704,0,12,3,0,0,0,126.79512902,35.26643475
2012,2012072200,0,1,1,2,7,0,127.05274009,37.69576073
2012,2012071911,1,1,8,1,3,0,127.77156349,37.80055262
2012,2012062614,1,2,7,1,3,1,126.85516934,35.19270477
2012,2012080503,0,2,5,0,4,0,127.27201559999999,35.80180456
2012,2012120506,1,1,1,1,3,0,126.99547413,37.72344367
2012,2012122012,1,1,10,1,3,0,126.75099127,37.43248186
2012,2012101721,0,35,6,0,1,0,128.72646093,35.87561551
2012,2012111715,1,9,1,0,1,0,127.09581051,37.18279331
2012,2012122419,0,6,5,1,2,0,127.27482598,35.38822162
2012,2012051118,0,3,2,0,0,0,129.39973138,36.97029995
2012,2012051207,1,1,10,1,4,0,126.69586898,37.50929311
2012,2012051112,1,2,3,0,1,2,126.46595828,34.7665791
2012,2012051002,0,1,6,2,7,0,128.60515125,35.86268353
2012,2012051620,0,2,1,0,0,0,127.19038729,37.41971201
2012,2012051606,1,1,7,1,3,0,126.83713433,35.07745084
2012,2012051410,1,1,4,1,4,0,126.34542611,36.3977838
2012,2012052103,0,1,1,0,1,2,126.93033252,37.35855129
2012,2012052014,1,1,11,1,3,0,127.03670794,37.6125326
2012,2012052018,0,2,3,1,3,0,126.80120147,35.32614299
2012,2012052104,0,1,1,0,0,0,126.60023017,37.72715535
2012,2012052206,1,1,7,2,7,2,126.77453966,35.09928354
2012,2012052111,1,1,5,0,1,0,127.40769114,35.43033346
2012,2012052705,0,4,6,0,0,0,128.53352691,35.89435299
2012,2012052508,1,5,1,0,1,2,127.04668421,37.18960145
2012,2012052508,1,1,4,2,6,0,126.52276566,36.70538951
2012,2012052600,0,1,4,1,2,0,126.96680804,36.26867576
2012,2012060203,0,1,10,2,7,0,126.72266770000002,37.53709863
2012,2012060112,1,1,2,1,3,0,129.21901649,36.46099595
2012,2012060703,0,1,2,2,4,0,128.42575145,36.09946213
2012,2012060305,0,3,5,1,3,0,127.00426241,35.8754084
2012,2012060408,1,1,5,0,0,0,127.16556729,35.92550894
