"발생년","발생년월일시","발생분","주야","요일","사망자수","사상자수","중상자수","경상자수","부상신고자수","발생지시도","발생지시군구","사고유형_대분류","사고유형_중분류","사고유형","법규위반_대분류","법규위반","도로형태_대분류","도로형태","당사자종별_1당_대분류","당사자종별_1당","당사자종별_2당_대분류","당사자종별_2당","발생위치X_UTMK","발생위치Y_UTMK","경도","위도"
"2012","2012032706","05","주간","화",1,3,2,0,0,"경기","안산시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","화물차","소형","943286  ","1927815 ",126.85954315,37.34785943
"2012","2012041222","00","야간","목",1,3,2,0,0,"전북","완주군","차량단독","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","00","00","978227  ","1756354 ",127.25841876,35.80368043
"2012","2012061114","10","주간","월",1,3,1,1,0,"전북","완주군","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","기타/불명","기타/불명","승용차","중형","00","00","958406  ","1760003 ",127.03945411,35.83565237
"2012","2012011417","10","주간","토",1,4,3,0,0,"충북","음성군","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","승용차","소형","1000200 ","1885400 ",127.50224683,36.96703096
"2012","2012011005","16","야간","화",1,1,0,0,0,"경기","용인시","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","교차로","교차로내","승합차","중형","이륜차","소형","972715  ","1918067 ",127.19266123,37.25844164
"2012","2012012506","50","주간","수",1,1,0,0,0,"경남","진주시","차대사람","차도통행중","차도통행중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","보행자","보행자","1070226 ","1693227 ",128.11478718,35.1589661
"2012","2012011622","40","야간","월",1,4,0,2,1,"경기","용인시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","경형","964858  ","1921721 ",127.10351012,37.29377275
"2012","2012042923","50","야간","일",1,1,0,0,0,"경남","진주시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","승용차","중형","1065701 ","1687913 ",128.2211021,35.18488075
"2012","2012042705","18","야간","금",1,3,1,1,0,"경북","영천시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","특수차","대형","1125958 ","1767805 ",128.89572637,35.89876717
"2012","2012052211","40","주간","화",1,8,6,1,0,"경기","평택시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","화물차","중형","943732  ","1885401 ",126.86789546,36.96535746
"2012","2012051310","40","주간","일",1,12,8,1,2,"충남","천안시","차량단독","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승합차","소형","00","00","972280  ","1879365 ",127.18881333,36.91222079
"2012","2012042823","05","야간","토",1,4,3,0,0,"인천","남동구","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","경형","932098  ","1937391 ",126.73248091,37.43319236
"2012","2012051401","20","야간","월",2,6,3,1,0,"인천","계양구","차대차","기타","기타","운전자법규위반","안전거리 미확보","단일로","기타단일로","승용차","중형","승용차","중형","930760  ","1947452 ",126.71641201,37.52377153
"2012","2012060123","20","야간","금",1,1,0,0,0,"경기","성남시","차대사람","차도통행중","차도통행중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","보행자","보행자","964884  ","1933009 ",127.10326853,37.39552024
"2012","2012071212","58","주간","목",1,2,0,1,0,"경기","안양시","차대차","정면충돌","정면충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","승용차","중형","951916  ","1931236 ",126.95687992,37.37895712
"2012","2012070910","04","주간","월",1,4,3,0,0,"서울","서초구","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","경형","960326  ","1939189 ",127.05144261,37.45103974
"2012","2012081321","30","야간","월",2,4,2,0,0,"경북","상주시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","화물차","중형","1066322 ","1819534 ",128.23933965,36.37096579
"2012","2012090615","25","주간","목",2,2,0,0,0,"경기","이천시","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","승용차","대형","993678  ","1914557 ",127.42873211,37.22983889
"2012","2012090110","10","주간","토",1,1,0,0,0,"경남","김해시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","00","00","1119356 ","1692453 ",128.81147422,35.22035584
"2012","2012090717","20","주간","금",1,3,0,2,0,"충남","보령시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","교량위","승용차","중형","00","00","918362  ","1830990 ",126.58873349,36.47305353
"2012","2012080302","20","야간","금",1,2,0,1,0,"경기","이천시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","화물차","대형","961471  ","1932989 ",127.39908203,37.23986802
"2012","2012122105","40","야간","금",1,2,1,0,0,"전남","보성군","차량단독","전도전복","전도전복","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","00","00","959156  ","1645727 ",127.0534594,34.80529324
"2012","2012102204","37","야간","월",1,1,0,0,0,"충남","보령시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","00","00","918234  ","1800127 ",126.59054468,36.19483436
"2012","2012060123","25","야간","금",1,1,0,0,0,"경기","김포시","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","보행자","보행자","935467  ","1955161 ",126.76899846,37.59359293
"2012","2012091409","12","주간","금",1,1,0,0,0,"경기","가평군","차대차","기타","기타","운전자법규위반","차로위반(진로변경 위반)","단일로","기타단일로","승합차","대형","승용차","중형","1002969 ","1965021 ",127.53367287,37.68472449
"2012","2012082222","30","야간","수",1,1,0,0,0,"경기","가평군","차량단독","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","터널안","승용차","중형","00","00","1003251 ","1965242 ",127.53690618,37.68670647
"2012","2012111509","15","주간","목",1,2,1,0,0,"전북","장수군","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","건설기계","건설기계","1014203 ","1743494 ",127.65718103,35.68770828
"2012","2012112319","10","야간","금",1,1,0,0,0,"충북","청주시","차대차","기타","기타","운전자법규위반","기타(운전자법규위반)","단일로","기타단일로","승용차","중형","화물차","대형","993259  ","1852847 ",127.42455934,36.67355146
"2012","2012111109","50","주간","일",2,8,0,6,0,"경기","시흥시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전거리 미확보","단일로","기타단일로","승합차","중형","승용차","중형","944056  ","1930192 ",126.86818289,37.3691062
"2012","2012080212","50","주간","목",1,5,1,3,0,"경북","김천시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","화물차","중형","1052953 ","1793181 ",128.08852924,36.1342206
"2012","2012091117","10","주간","화",1,2,1,0,0,"경기","안성시","차량단독","전도전복","전도전복","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","00","00","969276  ","1888301 ",127.15472734,36.99267979
"2012","2012010105","19","야간","일",1,1,0,0,0,"부산","강서구","차대차","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","특수차","대형","1133938 ","1691707 ",128.96869499,35.21213079
"2012","2012011003","44","야간","화",1,1,0,0,0,"대구","서구","차대차","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","경형","1096971 ","1763434 ",128.57405083,35.86266809
"2012","2012011001","50","야간","화",1,1,0,0,0,"경기","이천시","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","대형","993962  ","1920908 ",127.43248114,37.28584529
"2012","2012011000","05","야간","화",1,1,0,0,0,"경기","남양주시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","00","00","988990  ","1964155 ",127.37514345,37.67685762
"2012","2012011400","39","야간","토",1,1,0,0,0,"경기","남양주시","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","횡단보도상","화물차","대형","보행자","보행자","970863  ","1956982 ",127.16986651,37.61180849
"2012","2012011306","50","주간","금",1,1,0,0,0,"경기","여주시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","원동기장치자전거","원동기장치자전거","1012343 ","1918544 ",127.63920857,37.26571752
"2012","2012121719","20","야간","월",1,1,0,0,0,"인천","남구","차량단독","전도전복","전도전복","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","00","00","923754  ","1938570 ",126.63805324,37.44316838
"2012","2012100614","20","주간","토",1,6,0,5,0,"경기","용인시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","승합차","중형","965181  ","1921366 ",127.10717093,37.29058502
"2012","2012121407","30","주간","금",1,1,0,0,0,"전북","무주군","차대차","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승합차","중형","승용차","중형","1014687 ","1772262 ",127.66284875,35.94695278
"2012","2012120323","00","야간","월",1,2,1,0,0,"경북","상주시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","특수차","대형","1041715 ","1827353 ",127.96545834,36.44283697
"2012","2012112807","10","주간","수",1,2,0,1,0,"경북","고령군","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","터널안","화물차","대형","화물차","대형","1076543 ","1756096 ",128.34711203,35.79832412
"2012","2012010316","20","주간","화",1,1,0,0,0,"전남","영광군","차량단독","도로이탈","도로이탈 기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","00","00","908913  ","1689782 ",126.49939008,35.19924125
"2012","2012010322","57","야간","화",1,1,0,0,0,"전북","전주시","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","보행자","보행자","966216  ","1760150 ",127.12592158,35.83727798
"2012","2012010516","15","주간","목",2,3,1,0,0,"경남","고성군","차대차","측면직각충돌","측면직각충돌","운전자법규위반","교차로 통행방법 위반","교차로","교차로내","화물차","소형","건설기계","건설기계","1078252 ","1671827 ",128.35793099,35.03843746
"2012","2012010715","15","주간","토",1,2,0,1,0,"충북","청원군","차량단독","도로이탈","도로이탈 추락","운전자법규위반","기타(운전자법규위반)","단일로","기타단일로","승용차","소형","00","00","1009725 ","1854957 ",127.6069364,36.72449749
"2012","2012010720","35","야간","토",1,1,0,0,0,"경기","안산시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","교차로","교차로내","승용차","중형","이륜차","소형","939770  ","1923704 ",126.82030814,37.3103596
"2012","2012010521","20","야간","목",1,1,0,0,0,"경남","진주시","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","교차로","교차로부근","승용차","중형","보행자","보행자","1054454 ","1682309 ",128.09772149,35.13451609
"2012","2012011318","54","야간","금",1,1,0,0,0,"전북","부안군","차대차","측면직각충돌","측면직각충돌","운전자법규위반","중앙선 침범","교차로","교차로부근","화물차","소형","원동기장치자전거","원동기장치자전거","929846  ","1748046 ",126.72171572,35.72423577
"2012","2012011410","00","주간","토",1,2,1,0,0,"경기","김포시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","중앙선 침범","단일로","기타단일로","승용차","소형","승용차","대형","936481  ","1954475 ",126.78054329,37.58748072
"2012","2012011419","04","야간","토",1,2,1,0,0,"경기","포천시","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","화물차","중형","982361  ","1986343 ",127.29111954,37.8638896
"2012","2012011416","25","주간","토",1,1,0,0,0,"부산","해운대구","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","보행자","보행자","1148267 ","1693892 ",129.12930209,35.22946874
"2012","2012011101","10","야간","수",1,2,1,0,0,"경기","시흥시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","소형","933198  ","1927719 ",126.74578744,37.3460982
"2012","2012011011","50","주간","화",1,1,0,0,0,"울산","남구","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","보행자","보행자","1163950 ","1728749 ",129.30857018,35.54117136
"2012","2012010915","05","주간","월",1,1,0,0,0,"경기","평택시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","교차로","교차로부근","건설기계","건설기계","00","00","957019  ","1893159 ",127.01021912,37.03664815
