발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015021205,3,야간,목,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,횡단보도상,화물차,대형,보행자,보행자,992787,1827897,127.4195107,36.44862156
2015,2015021120,10,야간,수,1,1,0,0,0,강원,춘천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,대형,보행자,보행자,1017842,1980179,127.7027266,37.82117813
2015,2015021213,30,주간,목,1,1,0,0,0,경기,성남시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로부근,화물차,중형,보행자,보행자,967549,1937673,127.1331714,37.4376569
2015,2015021900,33,야간,목,1,2,0,0,1,강원,인제군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,건설기계,건설기계,1064739,2015631,128.2387559,38.13855587
2015,2015021818,44,야간,수,1,1,0,0,0,인천,부평구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승합차,중형,보행자,보행자,931259,1943875,126.7224391,37.49805368
2015,2015021923,0,야간,목,1,1,0,0,0,부산,남구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,이륜차,중형,1143670,1684308,129.0771327,35.14375046
2015,2015021819,34,야간,수,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,947797,1945342,126.9093585,37.50587558
2015,2015021701,0,야간,화,1,1,0,0,0,경북,안동시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,소형,0,0,1121392,1834669,128.8554957,36.50199846
2015,2015021614,38,주간,월,2,2,0,0,0,경기,의정부시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승합차,소형,화물차,소형,962080,1971107,127.0696193,37.73879881
2015,2015021521,40,야간,일,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,중형,보행자,보행자,934012,1945424,126.753394,37.50573185
2015,2015022421,0,야간,화,1,1,0,0,0,서울,광진구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로내,승용차,중형,원동기장치자전거,원동기장치자전거,965657,1950492,127.111186,37.55313221
2015,2015022420,27,야간,화,1,1,0,0,0,서울,성북구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,960278,1957546,127.0499067,37.6164955
2015,2015022302,42,야간,월,1,3,1,1,0,전남,고흥군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,화물차,대형,987900,1631211,127.3679196,34.67513816
2015,2015051223,6,야간,화,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,947188,1937481,126.9030321,37.434988
2015,2015051522,4,야간,금,1,2,0,1,0,충북,청주시,차대차,기타,기타,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,승용차,중형,이륜차,소형,998059,1846404,127.478294,36.61548992
2015,2015051900,18,야간,화,1,1,0,0,0,대구,중구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,승용차,대형,1100096,1763465,128.6086615,35.86263315
2015,2015051720,0,야간,일,1,1,0,0,0,경북,영천시,차대사람,차도통행중,차도통행중,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,보행자,보행자,1110932,1785952,128.7318016,36.06416173
2015,2015051706,45,주간,일,1,1,0,0,0,경남,남해군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1030593,1653347,127.8347482,34.8743664
2015,2015051710,50,주간,일,1,2,0,1,0,전남,진도군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,소형,875813,1604101,126.1485311,34.42326126
2015,2015051707,0,주간,일,1,2,0,1,0,경기,안성시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,특수차,대형,979029,1887023,127.2643649,36.98142762
2015,2015040610,16,주간,월,1,2,1,0,0,충북,음성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,대형,화물차,대형,1016811,1879496,127.6887575,36.91355022
2015,2015041014,58,주간,금,1,3,0,2,0,전남,곡성군,차대사람,기타,기타,정비불량,정비불량 제차의 운전금지위반,단일로,기타단일로,승용차,대형,보행자,보행자,977637,1681798,127.2545385,35.13113373
2015,2015041513,15,주간,수,1,2,1,0,0,충남,예산군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,화물차,소형,939129,1851312,126.8189169,36.65779013
2015,2015041215,30,주간,일,1,1,0,0,0,전북,남원시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,화물차,소형,원동기장치자전거,원동기장치자전거,991740,1714224,127.4090096,35.42373416
2015,2015041204,8,야간,일,1,1,0,0,0,부산,사상구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1136144,1683491,128.9944074,35.13743292
2015,2015041313,25,주간,월,1,1,0,0,0,전북,무주군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1005571,1775115,127.5617911,35.97277
2015,2015041302,50,야간,월,1,1,0,0,0,서울,서대문구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,952584,1952737,126.9630401,37.57278666
2015,2015041813,0,주간,토,1,1,0,0,0,충남,아산시,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,대형,0,0,963991,1866175,127.0963879,36.79304029
2015,2015042511,2,주간,토,1,1,0,0,0,강원,춘천시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,중형,보행자,보행자,1020293,1984492,127.7306966,37.86000029
2015,2015042520,7,야간,토,1,1,0,0,0,강원,철원군,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,993389,2021984,127.424498,38.19811197
2015,2015042523,19,야간,토,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1040687,1925199,127.9592403,37.32489619
2015,2015042522,52,야간,토,1,3,2,0,0,대전,서구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,중형,989664,1813103,127.3848582,36.3152199
2015,2015042620,25,야간,일,1,1,0,0,0,전북,군산시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,0,0,937425,1768805,126.8064652,35.91389185
2015,2015050615,0,주간,수,1,1,0,0,0,경남,창녕군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,1091079,1712647,128.5030631,35.40538386
2015,2015050500,50,야간,화,1,1,0,0,0,서울,광진구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,승합차,소형,964401,1949872,127.0969966,37.54749625
2015,2015051008,0,주간,일,1,1,0,0,0,서울,노원구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,지하도로내,지하도로내,자전거,자전거,0,0,961392,1957405,127.0625366,37.61527211
2015,2015050719,5,야간,목,1,2,0,1,0,경북,상주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,단일로,기타단일로,원동기장치자전거,원동기장치자전거,화물차,소형,1063036,1839676,128.2043512,36.55275823
2015,2015051211,30,주간,화,2,3,1,0,0,전북,완주군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,승합차,소형,958098,1758737,127.0361104,35.82422512
2015,2015051322,30,야간,수,1,1,0,0,0,전북,전주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,자전거,자전거,970709,1759286,127.1757019,35.82963267
2015,2015051612,35,주간,토,1,1,0,0,0,경기,이천시,차대차,기타,기타,운전자법규위반,부당한 회전,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,소형,996307,1917881,127.4583523,37.25981573
2015,2015051602,40,야간,토,1,1,0,0,0,서울,광진구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,보행자,보행자,963521,1951636,127.0869469,37.56336137
2015,2015051610,43,주간,토,1,1,0,0,0,강원,영월군,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,1085735,1909859,128.4658883,37.18357487
2015,2015051511,40,주간,금,1,2,0,1,0,충북,충주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,화물차,소형,1038249,1894897,127.9301709,37.05186099
2015,2015051511,20,주간,금,2,3,1,0,0,전북,진안군,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,993509,1750915,127.4282017,35.75457367
2015,2015052102,10,야간,목,1,1,0,0,0,경기,성남시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,지하도로내,지하도로내,이륜차,소형,0,0,967956,1940704,127.1376404,37.46499119
2015,2015051915,40,주간,화,1,1,0,0,0,경기,고양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,940261,1959036,126.8229826,37.62884161
2015,2015051914,20,주간,화,1,2,0,1,0,경남,밀양시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,이륜차,소형,승용차,중형,1110646,1726306,128.7203759,35.52653412
2015,2015051820,25,야간,월,1,1,0,0,0,전북,김제시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,자전거,자전거,943570,1756721,126.8754233,35.80532118
2015,2015051810,10,주간,월,1,1,0,0,0,전남,보성군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,971714,1642520,127.1908597,34.77680006
